date,city,crop,unit,min_price_pkr,avg_price_pkr,max_price_pkr,temperature_c,rainfall_mm,humidity_percent,n_price_reports,price_spread_pkr,data_type,source_file,latitude,longitude,weather_source
2024-01-01,Faisalabad,Tomato,1 Kg,109.18,115.8,122.15,6.7,0.3,20.0,1,12.97,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-02,Faisalabad,Tomato,1 Kg,111.38,118.7,125.95,5.6,0.9,25.0,1,14.57,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-03,Faisalabad,Tomato,1 Kg,126.2,131.0,138.5,4.8,0.2,26.6,1,12.3,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-04,Faisalabad,Tomato,1 Kg,122.02,130.65,136.8,6.0,1.2,20.0,1,14.78,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-05,Faisalabad,Tomato,1 Kg,115.02,124.08,132.43,5.2,1.5,20.0,1,17.41,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-06,Faisalabad,Tomato,1 Kg,101.52,109.78,116.32,6.1,1.4,20.0,1,14.8,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-07,Faisalabad,Tomato,1 Kg,98.52,102.25,110.15,3.5,0.3,20.0,1,11.63,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-08,Faisalabad,Tomato,1 Kg,102.12,108.1,114.5,3.6,0.1,21.6,1,12.38,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-09,Faisalabad,Tomato,1 Kg,137.38,144.62,156.1,6.5,0.3,21.3,1,18.72,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-10,Faisalabad,Tomato,1 Kg,120.5,127.48,132.72,2.0,1.2,29.9,1,12.22,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-11,Faisalabad,Tomato,1 Kg,109.0,115.48,124.58,5.6,0.6,20.0,1,15.58,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-12,Faisalabad,Tomato,1 Kg,131.15,136.6,141.35,6.4,1.7,20.0,1,10.2,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-13,Faisalabad,Tomato,1 Kg,87.38,91.3,95.02,6.0,4.1,20.0,1,7.64,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-14,Faisalabad,Tomato,1 Kg,153.35,161.75,172.92,7.1,3.7,20.0,1,19.57,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-15,Faisalabad,Tomato,1 Kg,146.9,152.52,164.5,5.9,1.6,20.0,1,17.6,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-16,Faisalabad,Tomato,1 Kg,67.65,71.0,74.1,7.3,0.4,22.1,1,6.45,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-17,Faisalabad,Tomato,1 Kg,125.4,131.65,141.12,7.4,0.9,20.0,1,15.72,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-18,Faisalabad,Tomato,1 Kg,93.72,100.35,104.8,6.5,0.9,20.0,1,11.08,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-19,Faisalabad,Tomato,1 Kg,94.15,102.12,107.22,4.2,0.2,20.0,1,13.07,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-20,Faisalabad,Tomato,1 Kg,143.32,150.5,160.93,4.8,0.9,20.0,1,17.61,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-21,Faisalabad,Tomato,1 Kg,99.82,108.45,115.95,6.9,0.1,24.5,1,16.13,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-22,Faisalabad,Tomato,1 Kg,115.3,122.15,130.8,4.2,1.1,20.0,1,15.5,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-23,Faisalabad,Tomato,1 Kg,105.5,112.92,117.0,8.2,0.3,20.0,1,11.5,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-24,Faisalabad,Tomato,1 Kg,114.98,122.82,129.05,8.8,1.2,20.9,1,14.07,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-25,Faisalabad,Tomato,1 Kg,121.35,125.6,129.78,6.8,0.7,30.0,1,8.43,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-26,Faisalabad,Tomato,1 Kg,125.8,132.93,139.25,6.9,0.1,20.0,1,13.45,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-27,Faisalabad,Tomato,1 Kg,135.48,146.82,156.12,6.0,0.1,22.6,1,20.64,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-28,Faisalabad,Tomato,1 Kg,112.8,117.08,122.42,7.0,0.1,23.6,1,9.62,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-29,Faisalabad,Tomato,1 Kg,151.3,161.75,169.9,9.6,1.0,20.0,1,18.6,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-30,Faisalabad,Tomato,1 Kg,144.07,151.4,159.12,8.1,0.5,24.7,1,15.05,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-01-31,Faisalabad,Tomato,1 Kg,111.88,116.78,121.72,7.6,0.7,28.7,1,9.84,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-01,Faisalabad,Tomato,1 Kg,114.7,120.5,124.65,6.9,0.6,32.2,1,9.95,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-02,Faisalabad,Tomato,1 Kg,160.38,173.92,187.45,7.8,0.1,26.4,1,27.07,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-03,Faisalabad,Tomato,1 Kg,103.08,108.95,113.35,6.4,1.2,22.4,1,10.27,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-04,Faisalabad,Tomato,1 Kg,116.9,122.12,126.95,6.7,0.4,29.7,1,10.05,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-05,Faisalabad,Tomato,1 Kg,86.1,93.1,99.15,11.5,0.3,23.1,1,13.05,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-06,Faisalabad,Tomato,1 Kg,101.9,109.25,112.92,8.8,0.5,27.6,1,11.02,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-07,Faisalabad,Tomato,1 Kg,113.9,120.8,127.95,5.2,1.5,20.0,1,14.05,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-08,Faisalabad,Tomato,1 Kg,108.48,113.0,118.25,10.2,2.7,21.5,1,9.77,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-09,Faisalabad,Tomato,1 Kg,98.4,101.65,105.8,8.4,0.2,22.2,1,7.4,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-10,Faisalabad,Tomato,1 Kg,122.3,129.5,138.68,6.5,0.2,27.0,1,16.38,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-11,Faisalabad,Tomato,1 Kg,117.82,123.32,129.32,11.0,0.8,21.4,1,11.5,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-12,Faisalabad,Tomato,1 Kg,122.95,132.78,141.95,9.8,0.2,31.2,1,19.0,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-13,Faisalabad,Tomato,1 Kg,119.38,127.75,136.8,8.7,0.3,24.4,1,17.42,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-14,Faisalabad,Tomato,1 Kg,103.08,109.32,115.75,10.8,0.2,20.0,1,12.67,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-15,Faisalabad,Tomato,1 Kg,116.12,122.78,130.7,8.7,1.0,27.0,1,14.58,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-16,Faisalabad,Tomato,1 Kg,130.9,142.22,150.98,10.1,1.2,37.9,1,20.08,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-17,Faisalabad,Tomato,1 Kg,97.62,102.42,106.75,9.0,0.6,20.0,1,9.13,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-18,Faisalabad,Tomato,1 Kg,90.6,95.38,98.38,7.4,0.1,26.8,1,7.78,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-19,Faisalabad,Tomato,1 Kg,88.68,95.2,99.85,12.5,0.9,34.5,1,11.17,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
2024-02-20,Faisalabad,Tomato,1 Kg,145.98,151.55,157.78,8.9,0.8,30.4,1,11.8,synthetic_2024,mandi_price_weather_dataset.csv,31.42,73.08,synthetic_generated
